order_number,material_code,material_name,unit,quantity_planned,quantity_used
OP-2026-900051,INK-CYAN-LX,Tinta cian Lx,L,476.37,470.39
OP-2026-900051,INK-MAGENTA-LX,Tinta magenta Lx,L,177.82,165.42
OP-2026-900052,THREAD-COTTON,Hilo algodón,m,173.5,173.72
OP-2026-900053,THREAD-COTTON,Hilo algodón,m,338.44,337.4
OP-2026-900053,PAPER-KRAFT-80,Papel kraft 80g,kg,311.29,293.31
OP-2026-900053,INK-MAGENTA-LX,Tinta magenta Lx,L,331.02,343.35
OP-2026-900054,THREAD-COTTON,Hilo algodón,m,421.36,389.21
OP-2026-900054,PAPER-KRAFT-80,Papel kraft 80g,kg,70.46,70.7
OP-2026-900055,INK-MAGENTA-LX,Tinta magenta Lx,L,237.46,238.19
OP-2026-900055,INK-CYAN-LX,Tinta cian Lx,L,274.12,274.54
OP-2026-900055,THREAD-COTTON,Hilo algodón,m,180.35,188.35
OP-2026-900056,INK-CYAN-LX,Tinta cian Lx,L,183.85,170.89
OP-2026-900056,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,76.96,75.2
OP-2026-900057,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,203.09,190.64
OP-2026-900057,INK-CYAN-LX,Tinta cian Lx,L,437.67,420.82
OP-2026-900058,GLUE-PVAC-25,Pegamento PVAc 25kg,kg,392.3,387.18
OP-2026-900058,INK-CYAN-LX,Tinta cian Lx,L,97.78,93.03
OP-2026-900059,INK-MAGENTA-LX,Tinta magenta Lx,L,252.32,236.76
OP-2026-900000,PAPER-KRAFT-80,Papel kraft 80g,kg,-10,0
